k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,52561,100,1616.593018,52561,100,44.79380798339844,0.002,0.5688663125038147,0.45101937651634216,0.0004750622611027211
1,52562,200,1622.687712,1,100,44.79380798339844,0.002,0.5688663721084595,0.4510192573070526,0.0004750622028950602
2,52563,300,1628.99495,1,100,44.7938117980957,0.002,0.5688663721084595,0.4510192275047302,0.00047506214468739927
3,52564,400,1635.417248,1,100,44.7938117980957,0.002,0.5688663721084595,0.4510191082954407,0.00047506214468739927
4,52565,500,1641.827417,1,100,44.7938117980957,0.002,0.5688662528991699,0.4510190188884735,0.0004750621155835688
5,52566,600,1647.95302,1,100,44.7938117980957,0.002,0.5688662528991699,0.45101895928382874,0.00047506208647973835
6,52567,700,1654.146693,1,100,44.7938117980957,0.002,0.5688662528991699,0.45101889967918396,0.0004750620573759079
7,52568,800,1660.477052,1,100,44.7938117980957,0.002,0.5688662528991699,0.4510188102722168,0.0004750620573759079
8,52569,900,1667.071285,1,100,44.7938117980957,0.002,0.5688661932945251,0.451018750667572,0.000475061999168247
9,52570,1000,1673.86949,1,100,44.7938117980957,0.002,0.5688662528991699,0.45101866126060486,0.0004750619118567556
10,52571,1100,1680.39027,1,100,44.7938117980957,0.002,0.5688662528991699,0.4510186016559601,0.0004750617954414338
11,52572,1200,1686.614484,1,100,44.7938117980957,0.002,0.5688662528991699,0.4510185122489929,0.0004750617372337729
12,52573,1300,1692.962961,1,100,44.79381561279297,0.002,0.5688661932945251,0.45101842284202576,0.00047506167902611196
13,52574,1400,1699.254487,1,100,44.79381561279297,0.002,0.5688661932945251,0.4510183036327362,0.00047506162081845105
14,52575,1500,1705.301366,1,100,44.79381561279297,0.002,0.5688661932945251,0.4510183036327362,0.0004750616499222815
15,52576,1600,1711.523646,1,100,44.79381561279297,0.002,0.5688661336898804,0.45101821422576904,0.0004750615917146206
16,52577,1700,1717.730303,1,100,44.79381561279297,0.002,0.5688661932945251,0.45101815462112427,0.0004750615335069597
17,52578,1800,1724.228073,1,100,44.79381561279297,0.002,0.5688661932945251,0.4510180652141571,0.0004750615044031292
18,52579,1900,1730.488423,1,100,44.7938117980957,0.002,0.5688661932945251,0.45101794600486755,0.0004750615044031292
19,52580,2000,1736.558465,1,100,44.79381561279297,0.002,0.5688661932945251,0.4510178565979004,0.0004750614461954683
20,52581,2100,1742.445704,1,100,44.79381561279297,0.002,0.5688661336898804,0.4510177969932556,0.00047506135888397694
21,52582,2200,1748.342077,1,100,44.79381561279297,0.002,0.5688661336898804,0.45101770758628845,0.00047506127157248557
22,52583,2300,1754.408436,1,100,44.79381561279297,0.002,0.5688661336898804,0.45101767778396606,0.0004750611842609942
23,52584,2400,1760.442428,1,100,44.79381561279297,0.002,0.5688661336898804,0.4510175585746765,0.0004750611260533333
24,52585,2500,1766.498045,1,100,44.7938117980957,0.002,0.5688661336898804,0.45101749897003174,0.0004750610969495028
25,52586,2600,1772.613455,1,100,44.7938117980957,0.002,0.5688660740852356,0.45101743936538696,0.00047506106784567237
26,52587,2700,1778.898533,1,100,44.7938117980957,0.002,0.5688660740852356,0.4510173499584198,0.00047506106784567237
27,52588,2800,1785.404866,1,100,44.79380416870117,0.002,0.5688660740852356,0.45101726055145264,0.00047506106784567237
28,52589,2900,1791.943725,1,100,44.79381561279297,0.002,0.5688660740852356,0.4510171711444855,0.0004750608350150287
29,52590,3000,1798.597215,1,100,44.79381561279297,0.002,0.5688660740852356,0.4510171115398407,0.00047506080591119826
30,52591,3100,1804.856237,1,100,44.79381561279297,0.002,0.5688660740852356,0.45101702213287354,0.00047506074770353734
31,52592,3200,1811.047451,1,100,44.79381561279297,0.002,0.568865954875946,0.45101696252822876,0.00047506060218438506
32,52593,3300,1817.021092,1,100,44.7938117980957,0.002,0.5688658952713013,0.4510168731212616,0.00047506060218438506
33,52594,3400,1822.840304,1,100,44.7938117980957,0.002,0.5688658952713013,0.45101675391197205,0.0004750604275614023
34,52595,3500,1828.538267,1,100,44.79381561279297,0.002,0.5688658952713013,0.45101675391197205,0.00047506028204225004
35,52596,3600,1834.389303,1,100,44.79381561279297,0.002,0.5688658952713013,0.4510166347026825,0.0004750602238345891
36,52597,3700,1840.300071,1,100,44.79381561279297,0.002,0.5688658952713013,0.45101654529571533,0.00047506019473075867
37,52598,3800,1846.328988,1,100,44.7938117980957,0.002,0.5688658356666565,0.45101645588874817,0.00047506019473075867
38,52599,3900,1852.405733,1,100,44.79381561279297,0.002,0.5688658952713013,0.4510163962841034,0.00047506007831543684
39,52600,4000,1858.473742,1,100,44.79381561279297,0.002,0.5688658356666565,0.45101630687713623,0.0004750600492116064
40,52601,4100,1864.689821,1,100,44.79381561279297,0.002,0.5688658356666565,0.45101624727249146,0.0004750600201077759
41,52602,4200,1871.05844,1,100,44.79381561279297,0.002,0.5688658356666565,0.4510161578655243,0.00047505993279628456
42,52603,4300,1877.494035,1,100,44.79381561279297,0.002,0.5688657760620117,0.4510160982608795,0.00047505987458862364
43,52604,4400,1883.983783,1,100,44.79381561279297,0.002,0.5688657760620117,0.45101600885391235,0.0004750598454847932
44,52605,4500,1890.630172,1,100,44.7938117980957,0.002,0.5688657760620117,0.4510158896446228,0.00047505981638096273
45,52606,4600,1897.61442,1,100,44.79381561279297,0.002,0.5688657760620117,0.4510158598423004,0.00047505961265414953
46,52607,4700,1904.674093,1,100,44.793819427490234,0.002,0.5688657164573669,0.45101580023765564,0.00047505952534265816
47,52608,4800,1911.417992,1,100,44.79381561279297,0.002,0.5688657760620117,0.4510157108306885,0.00047505946713499725
48,52609,4900,1917.864787,1,100,44.793819427490234,0.002,0.5688657164573669,0.4510155916213989,0.00047505926340818405
49,52610,5000,1924.039321,1,100,44.793819427490234,0.002,0.5688657164573669,0.45101550221443176,0.00047505920520052314
50,52611,5100,1930.307588,1,100,44.793819427490234,0.002,0.5688657164573669,0.4510154724121094,0.00047505911788903177
51,52612,5200,1936.555373,1,100,44.79381561279297,0.002,0.5688656568527222,0.45101532340049744,0.0004750590305775404
52,52613,5300,1943.003218,1,100,44.793819427490234,0.002,0.5688656568527222,0.45101529359817505,0.00047505885595455766
53,52614,5400,1949.61535,1,100,44.793819427490234,0.002,0.5688656568527222,0.4510152339935303,0.00047505879774689674
54,52615,5500,1955.909074,1,100,44.793819427490234,0.002,0.5688656568527222,0.4510151445865631,0.00047505873953923583
55,52616,5600,1962.171809,1,100,44.793819427490234,0.002,0.5688655972480774,0.45101505517959595,0.00047505859402008355
56,52617,5700,1968.405589,1,100,44.793819427490234,0.002,0.5688655972480774,0.45101499557495117,0.0004750585067085922
57,52618,5800,1974.449982,1,100,44.7938117980957,0.002,0.5688655972480774,0.4510149359703064,0.0004750584776047617
58,52619,5900,1980.464137,1,100,44.79381561279297,0.002,0.5688654780387878,0.45101484656333923,0.00047505844850093126
59,52620,6000,1986.49129,1,100,44.7938117980957,0.002,0.5688654780387878,0.45101478695869446,0.00047505839029327035
