k,cum_lower_iters,cum_ad_iters,cum_runtime,lower_iters,ad_iters,L,mu,upper_obj,lower_obj,norm_upper_grad
0,685,188,24.729905,685,188,44.79380798339844,0.002,0.5688523054122925,0.4510192573070526,0.002407162683084607
1,696,376,30.543703,11,188,44.79390335083008,0.002,0.568838894367218,0.4509803354740143,0.0024070802610367537
2,708,564,36.604987,12,188,44.79400634765625,0.002,0.5688160061836243,0.45094141364097595,0.0024069955106824636
3,723,752,42.729897,15,188,44.794097900390625,0.002,0.5687728524208069,0.45090246200561523,0.0024068665225058794
4,739,940,48.939539,16,188,44.79419708251953,0.002,0.5687257647514343,0.4508635699748993,0.0024067373014986515
5,758,1128,55.369722,19,188,44.79428482055664,0.002,0.568665087223053,0.4508245885372162,0.0024065827019512653
6,778,1316,61.959732,20,188,44.79438018798828,0.002,0.5686076283454895,0.4507855474948883,0.002406428102403879
7,800,1504,68.604128,22,188,44.79447555541992,0.002,0.568545401096344,0.4507465362548828,0.0024062704760581255
8,823,1692,75.4317,23,188,44.79457473754883,0.002,0.5684850215911865,0.4507075846195221,0.0024061098229140043
9,847,1880,82.292937,24,188,44.7946662902832,0.002,0.5684243440628052,0.45066866278648376,0.002405948704108596
10,871,2068,89.468196,24,188,44.79475402832031,0.002,0.568366527557373,0.45062971115112305,0.002405791310593486
11,895,2256,96.574986,24,188,44.79484939575195,0.002,0.5683091282844543,0.4505906403064728,0.00240562972612679
12,920,2444,103.321964,25,188,44.79494094848633,0.002,0.5682486295700073,0.45055168867111206,0.0024054627865552902
13,945,2632,109.829702,25,188,44.79503631591797,0.002,0.5681905746459961,0.4505126476287842,0.0024053005035966635
14,970,2820,116.175874,25,188,44.79513168334961,0.002,0.5681326389312744,0.4504735767841339,0.002405147533863783
15,996,3008,122.408878,26,188,44.79521942138672,0.002,0.5680718421936035,0.4504345655441284,0.002404973143711686
16,1015,3196,128.555257,19,188,44.79530715942383,0.002,0.5680343508720398,0.45039549469947815,0.002404858823865652
17,1040,3384,134.807059,25,188,44.79540252685547,0.002,0.5679646730422974,0.45035645365715027,0.002404672559350729
18,1064,3572,141.363647,24,188,44.795494079589844,0.002,0.5679101347923279,0.4503174126148224,0.002404513070359826
19,1090,3760,148.066414,26,188,44.79558181762695,0.002,0.5678458213806152,0.4502783715724945,0.002404339611530304
20,1116,3948,155.074079,26,188,44.795677185058594,0.002,0.567786693572998,0.45023927092552185,0.002404172671958804
21,1143,4136,162.106417,27,188,44.79576873779297,0.002,0.5677244067192078,0.4502001106739044,0.0024039982818067074
22,1163,4324,169.50867,20,188,44.79585266113281,0.002,0.5676854252815247,0.45016106963157654,0.002403868129476905
23,1190,4512,176.897494,27,188,44.79594421386719,0.002,0.5676112771034241,0.45012199878692627,0.002403675578534603
24,1214,4700,185.240416,24,188,44.7960319519043,0.002,0.5675615072250366,0.4500828683376312,0.0024035279639065266
25,1241,4888,197.30349,27,188,44.79612350463867,0.002,0.5674948692321777,0.4500437378883362,0.002403341932222247
26,1268,5076,204.230892,27,188,44.79621124267578,0.002,0.5674357414245605,0.4500046372413635,0.0024031728971749544
27,1295,5264,210.890841,27,188,44.796302795410156,0.002,0.567375898361206,0.44996553659439087,0.0024030024651437998
28,1322,5452,217.626072,27,188,44.79638671875,0.002,0.5673171281814575,0.44992631673812866,0.0024028304032981396
29,1349,5640,224.205626,27,188,44.79647445678711,0.002,0.5672584176063538,0.4498871862888336,0.0024026629980653524
30,1369,5828,230.574252,20,188,44.796566009521484,0.002,0.5672200322151184,0.44984808564186096,0.0024025356397032738
31,1396,6016,236.957599,27,188,44.79664993286133,0.002,0.5671467185020447,0.4498090147972107,0.002402334939688444
32,1421,6204,243.279064,25,188,44.79673767089844,0.002,0.567094624042511,0.4497698247432709,0.0024021801073104143
33,1449,6392,249.696554,28,188,44.79682540893555,0.002,0.5670273900032043,0.44973063468933105,0.002401994075626135
34,1475,6580,256.114199,26,188,44.796913146972656,0.002,0.5669738054275513,0.44969144463539124,0.002401835285127163
35,1503,6768,262.666408,28,188,44.7969970703125,0.002,0.5669096112251282,0.4496523141860962,0.002401648322120309
36,1524,6956,269.089958,21,188,44.797080993652344,0.002,0.5668700337409973,0.449613094329834,0.00240151584148407
